ABLA|37.14114,-2.780104
SIERPE (LA)|40.64557,-5.856294
SIETEIGLESIAS DE TORMES|40.74158,-5.577567
SOBRADILLO|40.9172,-6.79953
SORIHUELA|40.44439,-5.677692
SOTOSERRANO|40.43604,-6.032564
TABERA DE ABAJO|40.91037,-6.001102
TALA (LA)|40.58969,-5.537611
TAMAMES|40.65682,-6.104106
TARAZONA DE GUAREÑA|41.17094,-5.249732
TARDAGUILA|41.11479,-5.57548
TEJADO (EL)|40.44235,-5.539185
TEJEDA Y SEGOYUELA|40.63215,-6.022623
TENEBRON|40.62404,-6.355115
TERRADILLOS|40.83985,-5.542461
TOPAS|41.15681,-5.634622
TORDILLOS|40.85421,-5.35243
TORNADIZO (EL)|40.54272,-5.892554
TORRESMENUDAS|41.1022,-5.785965
TRABANCA|41.23292,-6.384684
TREMEDAL DE TORMES|41.0756,-6.181431
VALDECARROS|40.7696,-5.423006
VALDEFUENTES DE SANGUSIN|40.46539,-5.829545
VALDEHIJADEROS|40.41963,-5.847747
VALDELACASA|40.5061,-5.763429
VALDELAGEVE|40.36914,-5.989517
VALDELOSA|41.17096,-5.782762
VALDEMIERQUE|40.82148,-5.583385
VALDERRODRIGO|41.06552,-6.508775
VALDUNCIEL|41.08523,-5.671552
VALERO|40.53548,-5.942448
VALLEJERA DE RIOFRIO|40.40915,-5.721384
VALSALABROSO|41.10923,-6.501443
VALVERDE DE VALDELACASA|40.48124,-5.781748
VALVERDON|41.04748,-5.770327
VECINOS|40.77942,-5.877073
VEGA DE TIRADOS|41.02539,-5.887008
VEGUILLAS (LAS)|40.71627,-5.83115
VELLES (LA)|40.96731,-5.671496
VENTOSA DEL RIO ALMAR|40.92888,-5.348164
VIDOLA (LA)|41.15339,-6.487728
VILLAFLORES|41.08399,-5.233344
VILLAGONZALO DE TORMES|40.89248,-5.498151
VILLALBA DE LOS LLANOS|40.80081,-5.973214
VILLAMAYOR|41.00082,-5.68979
VILLANUEVA DEL CONDE|40.5104,-6.012312
VILLAR DE ARGAÑAN|40.67394,-6.719632
VILLAR DE CIERVO|40.73645,-6.739775
VILLAR DE GALLIMAZO|40.9539,-5.28827
VILLAR DE LA YEGUA|40.72498,-6.704578
VILLAR DE PERALONSO|41.03194,-6.221945
VILLAR DE SAMANIEGO|41.1228,-6.445864
VILLARES DE LA REINA|41.00651,-5.647612
VILLARES DE YELTES|40.86742,-6.413283
VILLARINO DE LOS AIRES|41.26935,-6.46907
VILLARMAYOR|41.01466,-5.971948
VILLARMUERTO|41.05628,-6.362195
VILLASBUENAS|41.06209,-6.59571
VILLASDARDO|41.00458,-6.163021
VILLASECO DE LOS GAMITOS|41.0377,-6.113545
VILLASECO DE LOS REYES|41.16262,-6.184583
VILLASRUBIAS|40.3381,-6.640275
VILLAVERDE DE GUAREÑA|41.0639,-5.526249
VILLAVIEJA DE YELTES|40.87605,-6.46762
VILLORIA|40.9945,-5.374672
VILLORUELA|41.00769,-5.394605
VILVESTRE|41.10301,-6.718517
VITIGUDINO|41.00888,-6.43838
YECLA DE YELTES|40.95956,-6.488522
ZAMARRA|40.51837,-6.453993
ZAMAYON|41.14824,-5.830114
ZARAPICOS|41.03887,-5.844289
ZARZA DE PUMAREDA (LA)|41.16283,-6.627572
ZORITA DE LA FRONTERA|41.01429,-5.197237
ABADES|40.91547,-4.26913
ADRADA DE PIRON|41.05235,-4.051525
ADRADOS|41.36835,-4.112879
AGUILAFUENTE|41.2284,-4.111938
ALCONADA DE MADERUELO|41.45044,-3.486305
ALDEA REAL|41.2576,-3.504531
ALDEALCORVO|41.24382,-3.792133
ALDEALENGUA DE PEDRAZA|41.06966,-3.789361
ALDEALENGUA DE SANTA MARIA|41.46241,-3.467453
ALDEANUEVA DE LA SERREZUELA|41.4607,-3.780438
ALDEANUEVA DEL CODONAL|41.08217,-4.544615
ALDEASOÑA|41.47266,-4.055844
ALDEHORNO|41.51237,-3.779552
ALDEHUELA DEL CODONAL|41.05529,-4.53864
ALDEONTE|41.35093,-3.677197
ANAYA|40.99408,-4.308839
AÑE|41.03774,-4.296141
ARAHUETES|41.13767,-3.856474
ARCONES|41.11839,-3.724982
AREVALILLO DE CEGA|41.16163,-3.890747
ARMUÑA|41.07716,-4.319798
AYLLON|41.41933,-3.373922
BARBOLLA|41.32545,-3.672688
BASARDILLA|41.02772,-4.025467
BERCIAL|40.90679,-4.436669
BERCIMUEL|41.39949,-3.570852
BERNARDOS|41.12846,-4.350889
BERNUY DE PORREROS|41.00056,-4.11646
BOCEGUILLAS|41.3368,-3.638126
BRIEVA|41.03432,-4.055102
CABALLAR|41.12088,-3.965202
CABAÑAS DE POLENDOS|41.06725,-4.11025
CABEZUELA|41.23514,-3.933327
CALABAZAS DE FUENTIDUEÑA|41.44533,-4.010818
CAMPO DE SAN PEDRO|41.43007,-3.545477
CANTALEJO|41.25864,-3.9281
CANTIMPALOS|41.0742,-4.158595
CARBONERO EL MAYOR|41.12254,-4.266704
CARRASCAL DEL RIO|41.36771,-3.897694
CASLA|41.16695,-3.654604
CASTILLEJO DE MESLEON|41.27879,-3.602471
CASTRO DE FUENTIDUEÑA|41.42073,-3.855835
CASTROJIMENO|41.39748,-3.845113
CASTROSERNA DE ABAJO|41.2083,-3.73432
CASTROSERRACIN|41.39333,-3.803175
CEDILLO DE LA TORRE|41.42439,-3.605814
CEREZO DE ABAJO|41.21747,-3.592461
CEREZO DE ARRIBA|41.23959,-3.558474
CHAÑE|41.3386,-4.428869
CILLERUELO DE SAN MAMES|41.43126,-3.567094
COBOS DE FUENTIDUEÑA|41.38245,-3.927547
COCA|41.21833,-4.519117
CODORNIZ|41.06709,-4.600601
COLLADO HERMOSO|41.03882,-3.919351
CONDADO DE CASTILNOVO|41.24111,-3.7425
CORRAL DE AYLLON|41.39096,-3.459096
COZUELOS DE FUENTIDUEÑA|41.39128,-4.095218
CUBILLO|41.12132,-3.908585
CUELLAR|41.40251,-4.316654
CUEVAS DE PROVANCO|41.54247,-3.961665
DOMINGO GARCIA|41.11544,-4.379111
DONHIERRO|41.11604,-4.696246
DURUELO|41.23553,-3.649323
ENCINAS|41.37494,-3.667676
ENCINILLAS|41.01792,-4.158085
ESCALONA DEL PRADO|41.16724,-4.122932
ESCARABAJOSA DE CABEZAS|41.10449,-4.194168
ESCOBAR DE POLENDOS|41.09098,-4.131123
ESPINAR (EL)|40.71771,-4.247441
ESPIRDO|40.99775,-4.07347
FRESNEDA DE CUELLAR|41.31833,-4.449654
FRESNO DE CANTESPINO|41.36805,-3.498973
FRESNO DE LA FUENTE|41.39546,-3.644677
FRUMALES|41.38335,-4.185407
FUENTE DE SANTA CRUZ|41.20889,-4.634735
FUENTE EL OLMO DE FUENTIDUEÑA|41.38012,-4.000347
FUENTE EL OLMO DE ISCAR|41.28065,-4.493434
FUENTEPELAYO|41.22156,-4.175273
FUENTEPIÑEL|41.40004,-4.042584
FUENTERREBOLLO|41.29678,-3.931216
FUENTESAUCO DE FUENTIDUEÑA|41.42471,-4.062368
FUENTESOTO|41.45682,-3.919893
FUENTIDUEÑA|41.44252,-3.980448
GALLEGOS|41.07471,-3.786434
GARCILLAN|40.97736,-4.26627
GOMEZSERRACIN|41.28854,-4.326694
GRAJERA|41.37238,-3.613547
HONRUBIA DE LA CUESTA|41.51078,-3.704775
HONTALBILLA|41.34526,-4.121495
HONTANARES DE ERESMA|40.98215,-4.203881
HUERTOS (LOS)|41.0092,-4.219127
ITUERO Y LAMA|40.8,-4.380133
JUARROS DE RIOMOROS|40.94553,-4.309361
JUARROS DE VOLTOYA|41.03076,-4.519494
LABAJOS|40.84376,-4.518333
LAGUNA DE CONTRERAS|41.49474,-4.028598
LANGUILLA|41.4491,-3.424838
LASTRAS DE CUELLAR|41.29728,-4.107011
LASTRAS DEL POZO|40.87859,-4.345913
LASTRILLA (LA)|40.9687,-4.103292
LOSA (LA)|40.85476,-4.16462
MADERUELO|41.48711,-3.521574
MARAZOLEJA|40.96149,-4.339089
MARAZUELA|40.97814,-4.365848
MARTIN MIGUEL|40.95168,-4.273617
MARTIN MUÑOZ DE LA DEHESA|41.06539,-4.68732
MARTIN MUÑOZ DE LAS POSADAS|40.99466,-4.597004
MARUGAN|40.89658,-4.38389
MATA DE CUELLAR|41.3977,-4.472108
MATABUENA|41.09501,-3.75647
MATILLA (LA)|41.19116,-3.795513
MELQUE DE CERCOS|41.05176,-4.469901
MEMBIBRE DE LA HOZ|41.4498,-4.095219
MIGUELAÑEZ|41.12193,-4.364726
MONTEJO DE AREVALO|41.1402,-4.665318
MONTEJO DE LA VEGA DE LA SERREZUELA|41.54882,-3.652762
MONTERRUBIO|40.84811,-4.352016
MORAL DE HORNUEZ|41.46523,-3.616015
MOZONCILLO|41.40326,-3.517124
MUÑOPEDRO|40.88802,-4.47202
MUÑOVEROS|41.17223,-3.95271
NAVA DE LA ASUNCION|41.15579,-4.487045
NAVAFRIA|41.05463,-3.825141
NAVALILLA|41.34158,-3.933217
NAVALMANZANO|41.21515,-4.258042
NAVARES DE AYUSO|41.37296,-3.706703
NAVARES DE ENMEDIO|41.38144,-3.722878
NAVARES DE LAS CUEVAS|41.41401,-3.750781
NAVAS DE ORO|41.19619,-4.439495
NAVAS DE RIOFRIO|40.86571,-4.13987
NAVAS DE SAN ANTONIO|40.76159,-4.329294
NIEVA|41.08,-4.426724
OLOMBRADA|41.41504,-4.161081
OREJANA|41.163,-3.778
ORTIGOSA DE PESTAÑO|41.08752,-4.394657
ORTIGOSA DEL MONTE|40.84172,-4.175569
OTERO DE HERREROS|40.82013,-4.20911
PAJAREJOS|41.39035,-3.590637
PALAZUELOS DE ERESMA|40.93102,-4.059671
PEDRAZA|41.13042,-3.809568
PELAYOS DEL ARROYO|41.05161,-3.941472
PEROSILLO|41.39278,-4.140926
PINAREJOS|41.2593,-4.294878
PINARNEGRILLO|41.19036,-4.210704
PRADALES|41.45597,-3.707412
PRADENA|41.13995,-3.689073
PUEBLA DE PEDRAZA|41.20537,-3.913137
RAPARIEGOS|41.09375,-4.653146
REBOLLO|41.19336,-3.857505
REMONDO|41.34121,-4.482165
RIAGUAS DE SAN BARTOLOME|41.42718,-3.487787
RIAZA|41.28003,-3.477578
RIBOTA|41.36467,-3.429829
RIOFRIO DE RIAZA|41.24677,-3.449943
RODA DE ERESMA|41.02869,-4.181263
SACRAMENIA|41.49481,-3.963515
SAMBOAL|41.25801,-4.417356
SAN CRISTOBAL DE CUELLAR|41.40601,-4.404017
SAN CRISTOBAL DE LA VEGA|41.11186,-4.645412
SAN CRISTOBAL DE SEGOVIA|40.95257,-4.076104
SAN ILDEFONSO|40.90373,-4.007106
SAN MARTIN Y MUDRIAN|41.22304,-4.330223
SAN MIGUEL DE BERNUY|41.39992,-3.952679
SAN PEDRO DE GAILLOS|41.22693,-3.809135
SANCHONUÑO|41.32391,-4.305842
SANGARCIA|40.94718,-4.414613
SANTA MARIA LA REAL DE NIEVA|41.06889,-4.404407
SANTA MARTA DEL CERRO|41.21772,-3.686021
SANTIUSTE DE PEDRAZA|41.08452,-3.896081
SANTIUSTE DE SAN JUAN BAUTISTA|41.15517,-4.573022
SANTO DOMINGO DE PIRON|41.041,-3.989704
SANTO TOME DEL PUERTO|41.18054,-3.563763
SAUQUILLO DE CABEZAS|41.19459,-4.068713
SEBULCOR|41.27094,-3.884605
SEGOVIA|40.94943,-4.119209
SEPULVEDA|41.29744,-3.749051
SEQUERA DE FRESNO|41.36739,-3.546999
SOTILLO|41.25824,-3.637582
SOTOSALBOS|41.03498,-3.94243
TABANERA LA LUENGA|41.09666,-4.238953
TOLOCIRIO|41.13419,-4.650373
TORRE VAL DE SAN PEDRO|41.07383,-3.871454
TORREADRADA|41.4443,-3.839415
TORRECABALLEROS|40.99184,-4.024845
TORRECILLA DEL PINAR|41.37415,-4.037625
TORREIGLESIAS|41.10206,-4.032855
TRESCASAS|40.96186,-4.038758
TUREGANO|41.15512,-4.007469
URUEÑAS|41.3559,-3.773702
VALDEPRADOS|40.8177,-4.257667
VALDEVACAS DE MONTEJO|41.52086,-3.6359
VALDEVACAS Y GUIJAR|41.13334,-3.9
VALLE DE TABLADILLO|41.36282,-3.839471
VALLELADO|41.40426,-4.425953
VALLERUELA DE PEDRAZA|41.1795,-3.806705
VALLERUELA DE SEPULVEDA|41.18853,-3.772063
VALSECA|41.00058,-4.174846
VALTIENDAS|41.47857,-3.917691
VALVERDE DEL MAJANO|40.95658,-4.235653
VEGANZONES|41.1929,-3.994259
VEGAS DE MATUTE|40.79456,-4.278765
VENTOSILLA Y TEJADILLA|41.18225,-3.695434
VILLACASTIN|40.7799,-4.413782
VILLAVERDE DE ISCAR|41.30714,-4.529464
VILLAVERDE DE MONTEJO|41.52252,-3.65548
VILLEGUILLO|41.25183,-4.578562
YANGUAS DE ERESMA|41.07141,-4.240785
ZARZUELA DEL MONTE|40.80906,-4.336537
ZARZUELA DEL PINAR|41.26064,-4.183645
ABEJAR|41.80774,-2.785575
ADRADAS|41.35108,-2.473783
AGREDA|41.85508,-1.920437
ALCONABA|41.72372,-2.385317
ALCUBILLA DE AVELLANEDA|41.72509,-3.30504
ALCUBILLA DE LAS PEÑAS|41.2513,-2.527009
ALDEALAFUENTE|41.6716,-2.325249
ALDEALICES|41.90195,-2.309518
ALDEALPOZO|41.78287,-2.205355
ALDEALSEÑOR|41.87892,-2.315711
ALDEHUELA DE PERIAÑEZ|41.80824,-2.306498
ALDEHUELAS (LAS)|41.99459,-2.364379
ALENTISQUE|41.41982,-2.332048
ALIUD|41.65447,-2.253102
ALMAJANO|41.85081,-2.337914
ALMALUEZ|41.28933,-2.26941
ALMARZA|41.94652,-2.469083
ALMAZAN|41.48592,-2.533437
ALMAZUL|41.57373,-2.146663
ALMENAR DE SORIA|41.68241,-2.199794
ALPANSEQUE|41.26534,-2.67099
ARANCON|41.80079,-2.282142
ARCOS DE JALON|41.21495,-2.2713
ARENILLAS|41.34745,-2.845552
AREVALO DE LA SIERRA|41.94745,-2.400216
AUSEJO DE LA SIERRA|41.89484,-2.374161
BARAONA|41.29533,-2.657406
BARCA|41.45625,-2.620859
BARCONES|41.29187,-2.816489
BAYUBAS DE ABAJO|41.52646,-2.895991
BAYUBAS DE ARRIBA|41.55735,-2.88629
BERATON|41.71635,-1.810971
BERLANGA DE DUERO|41.46519,-2.861313
BLACOS|41.68061,-2.856914
BLIECOS|41.52827,-2.271571
BORJABAD|41.55315,-2.365719
BOROBIA|41.66553,-1.897643
BUBEROS|41.64727,-2.195456
BUITRAGO|41.84751,-2.408156
BURGO DE OSMA-CIUDAD DE OSMA|41.58764,-3.06658
CABREJAS DEL CAMPO|41.68117,-2.269537
CABREJAS DEL PINAR|41.79767,-2.849684
CALATAÑAZOR|41.6996,-2.817588
CALTOJAR|41.40254,-2.764143
CAÑAMAQUE|41.445,-2.236295
CANDILICHERA|41.70433,-2.301476
CARABANTES|41.5517,-2.001163
CARACENA|41.3833,-3.091343
CARRASCOSA DE ABAJO|41.42324,-3.090263
CARRASCOSA DE LA SIERRA|41.89554,-2.28056
CASAREJOS|41.79644,-3.032538
CASTILFRIO DE LA SIERRA|41.91998,-2.305577
CASTILLEJO DE ROBLEDO|41.56111,-3.494669
CASTILRUIZ|41.87681,-2.059147
CENTENERA DE ANDALUZ|41.50687,-2.71833
CERBON|41.92931,-2.169622
CIDONES|41.81461,-2.640114
CIGUDOSA|41.93505,-2.055447
CIHUELA|41.40725,-1.99981
CIRIA|41.61886,-1.965891
CIRUJALES DEL RIO|41.86694,-2.325954
COSCURITA|41.43481,-2.475592
COVALEDA|41.93584,-2.884975
CUBILLA|41.74883,-2.938876
CUBO DE LA SOLANA|41.60253,-2.420941
CUEVA DE AGREDA|41.76356,-1.88755
DEVANOS|41.90224,-1.945479
DEZA|41.46352,-2.022246
DURUELO DE LA SIERRA|41.95428,-2.932089
ESCOBOSA DE ALMAZAN|41.48692,-2.371206
ESPEJA DE SAN MARCELINO|41.80276,-3.22209
ESPEJON|41.83094,-3.259629
ESTEPA DE SAN JUAN|41.92665,-2.333617
FRECHILLA DE ALMAZAN|41.42592,-2.515668
FRESNO DE CARACENA|41.45257,-3.091199
FUENTEARMEGIL|41.71469,-3.182951
FUENTECAMBRON|41.50551,-3.328088
FUENTECANTOS|41.84877,-2.428108
FUENTELMONGE|41.42037,-2.186185
FUENTELSAZ DE SORIA|41.86476,-2.415506
FUENTEPINILLA|41.56748,-2.763092
FUENTES DE MAGAÑA|41.93504,-2.180229
FUENTESTRUN|41.87467,-2.081859
GARRAY|41.8151,-2.446957
GOLMAYO|41.76519,-2.524221
GOMARA|41.6233,-2.225688
GORMAZ|41.49263,-3.004386
HERRERA DE SORIA|41.7629,-3.012353
HINOJOSA DEL CAMPO|41.73899,-2.098851
LANGA DE DUERO|41.6101,-3.401597
LICERAS|41.37885,-3.243724
LOSILLA (LA)|41.87247,-2.278706
MAGAÑA|41.89968,-2.161685
MAJAN|41.46891,-2.303282
MATALEBRERAS|41.84061,-2.046679
MATAMALA DE ALMAZAN|41.50644,-2.640236
MEDINACELI|41.17257,-2.433086
MIÑO DE MEDINACELI|41.18982,-2.518145
MIÑO DE SAN ESTEBAN|41.536,-3.345308
MOLINOS DE DUERO|41.88531,-2.787729
MOMBLONA|41.4441,-2.346566
MONTEAGUDO DE LAS VICARIAS|41.36525,-2.16931
MONTEJO DE TIERMES|41.36852,-3.198695
MONTENEGRO DE CAMEROS|42.08982,-2.753905
MORON DE ALMAZAN|41.41478,-2.413052
MURIEL DE LA FUENTE|41.72466,-2.860322
MURIEL VIEJO|41.78269,-2.915418
NAFRIA DE UCERO|41.72269,-3.094858
NARROS|41.84862,-2.294553
NAVALENO|41.83872,-3.00545
NEPAS|41.52644,-2.399912
NOLAY|41.527,-2.351627
NOVIERCAS|41.71159,-2.034963
OLVEGA|41.77938,-1.985618
ONCALA|41.97038,-2.314437
PINILLA DEL CAMPO|41.71715,-2.083476
PORTILLO DE SORIA|41.63532,-2.121212
POVEDA DE SORIA (LA)|42.01227,-2.504583
POZALMURO|41.77471,-2.102212
QUIÑONERIA|41.53778,-2.057213
QUINTANA REDONDA|41.64019,-2.615314
QUINTANAS DE GORMAZ|41.50817,-2.975464
RABANOS (LOS)|41.71728,-2.475944
REBOLLAR|41.91376,-2.50513
RECUERDA|41.47538,-2.994755
RELLO|41.33287,-2.749762
RENIEBLAS|41.81995,-2.372343
RETORTILLO DE SORIA|41.31117,-2.980882
REZNOS|41.59136,-2.027072
RIBA DE ESCALOTE (LA)|41.35175,-2.79705
RIOSECO DE SORIA|41.64209,-2.841026
ROLLAMIENTA|41.92616,-2.531147
ROYO (EL)|41.9084,-2.644564
SALDUERO|41.89009,-2.7993
SAN ESTEBAN DE GORMAZ|41.57364,-3.205283
SAN FELICES|41.93699,-2.027122
SAN LEONARDO DE YAGÜE|41.82905,-3.066409
SAN PEDRO MANRIQUE|42.03022,-2.230739
SANTA CRUZ DE YANGUAS|42.06273,-2.448011
SANTA MARIA DE HUERTA|41.26341,-2.17574
SANTA MARIA DE LAS HOYAS|41.77137,-3.14257
SERON DE NAGIMA|41.49571,-2.201593
SOLIEDRA|41.46981,-2.382168
SORIA|41.7636,-2.464921
SOTILLO DEL RINCON|41.93196,-2.602456
SUELLACABRAS|41.85268,-2.223493
TAJAHUERCE|41.74019,-2.150867
TAJUECO|41.53656,-2.849125
TALVEILA|41.7841,-2.966848
TARDELCUENDE|41.59547,-2.644528
TARODA|41.34843,-2.43388
TEJADO|41.58828,-2.267788
TORLENGUA|41.45383,-2.163035
TORREBLACOS|41.66937,-2.87743
TORRUBIA DE SORIA|41.63026,-2.091279
TREVAGO|41.87391,-2.102242
UCERO|41.71712,-3.051048
VADILLO|41.79133,-3.00797
VALDEAVELLANO DE TERA|41.94262,-2.575202
VALDEGEÑA|41.81672,-2.173599
VALDELAGUA DEL CERRO|41.8878,-2.11655
VALDEMALUQUE|41.67344,-3.045409
VALDENEBRO|41.57103,-2.964019
VALDEPRADO|41.93788,-2.108309
VALDERRODILLA|41.56382,-2.808402
VALTAJEROS|41.93824,-2.221633
VELAMAZAN|41.45012,-2.698464
VELILLA DE LA SIERRA|41.80911,-2.401653
VELILLA DE LOS AJOS|41.4906,-2.254761
VIANA DE DUERO|41.53361,-2.460615
VILLACIERVOS|41.76205,-2.626606
VILLANUEVA DE GORMAZ|41.46755,-3.062313
VILLAR DEL ALA|41.91628,-2.566284
VILLAR DEL CAMPO|41.7889,-2.149196
VILLAR DEL RIO|42.07545,-2.35151
VILLARES DE SORIA (LOS)|41.86448,-2.355851
VILLASAYAS|41.35274,-2.610573
VILLASECA DE ARCIEL|41.62463,-2.161059
VINUESA|41.91164,-2.762882
VIZMANOS|42.02388,-2.407695
VOZMEDIANO|41.83922,-1.855912
YANGUAS|42.10143,-2.339636
YELO|41.21052,-2.527779
ADALIA|41.64888,-5.121545
AGUASAL|41.27509,-4.652815
AGUILAR DE CAMPOS|41.98422,-5.179518
ALAEJOS|41.30723,-5.217235
ALCAZAREN|41.36967,-4.672615
ALDEA DE SAN MIGUEL|41.45976,-4.614833
ALDEAMAYOR DE SAN MARTIN|41.51191,-4.640789
ALMENARA DE ADAJA|41.21382,-4.67709
AMUSQUILLO|41.74875,-4.301386
ARROYO DE LA ENCOMIENDA|41.60952,-4.796458
ATAQUINES|41.18281,-4.802578
BAHABON|41.48133,-4.281538
BARCIAL DE LA LOMA|41.95028,-5.284598
BARRUELO DEL VALLE|41.67421,-5.069644
BECILLA DE VALDERADUEY|42.09895,-5.219741
BENAFARCES|41.62082,-5.292621
BERCERO|41.56435,-5.055943
BERCERUELO|41.57958,-5.03342
BERRUECES|41.94557,-5.097033
BOBADILLA DEL CAMPO|41.20448,-5.021404
BOCIGAS|41.22874,-4.681275
BOCOS DE DUERO|41.62429,-4.067605
BOECILLO|41.5409,-4.699863
BOLAÑOS DE CAMPOS|42.00658,-5.284452
BRAHOJOS DE MEDINA|41.23122,-5.043207
BUSTILLO DE CHAVES|42.13102,-5.091348
CABEZON DE PISUERGA|41.73401,-4.645665
CABEZON DE VALDERADUEY|42.16748,-5.15879
CABREROS DEL MONTE|41.84864,-5.269816
CAMPASPERO|41.49291,-4.199188
CAMPILLO (EL)|41.25804,-5.014209
CAMPORREDONDO|41.47388,-4.504695
CANALEJAS DE PEÑAFIEL|41.52468,-4.115096
CANILLAS DE ESGUEVA|41.7551,-4.124552
CARPIO|41.21339,-5.11081
CASASOLA DE ARION|41.57777,-5.240637
CASTREJON DE TRABANCOS|41.25175,-5.170398
CASTRILLO-TEJERIEGO|41.70313,-4.37122
CASTRILLO DE DUERO|41.57559,-4.014312
CASTROBOL|42.13713,-5.31488
CASTRODEZA|41.64812,-4.960594
CASTROMEMBIBRE|41.67348,-5.305367
CASTROMONTE|41.77369,-5.040992
CASTRONUEVO DE ESGUEVA|41.68159,-4.588347
CASTRONUÑO|41.38883,-5.260547
CASTROPONCE|42.12659,-5.182605
CASTROVERDE DE CERRATO|41.75579,-4.221106
CEINOS DE CAMPOS|42.03264,-5.149274
CERVILLEGO DE LA CRUZ|41.18686,-4.949173
CIGALES|41.75821,-4.699579
CIGUÑUELA|41.64066,-4.857165
CISTERNIGA|41.61322,-4.689145
COGECES DE ISCAR|41.4059,-4.544879
COGECES DEL MONTE|41.51111,-4.316231
CORCOS|41.8103,-4.693007
CORRALES DE DUERO|41.67221,-4.047909
CUBILLAS DE SANTA MARTA|41.8319,-4.61599
CUENCA DE CAMPOS|42.05845,-5.055309
CURIEL DE DUERO|41.63913,-4.099914
ENCINAS DE ESGUEVA|41.75776,-4.102208
ESGUEVILLAS DE ESGUEVA|41.75099,-4.379343
FOMBELLIDA|41.7668,-4.184987
FOMPEDRAZA|41.53621,-4.145766
FONTIHOYUELO|42.16209,-5.05728
FRESNO EL VIEJO|41.19566,-5.145677
FUENSALDAÑA|41.70668,-4.764007
FUENTE-OLMEDO|41.24357,-4.647348
FUENTE EL SOL|41.17568,-4.93534
GALLEGOS DE HORNIJA|41.60977,-5.098537
GATON DE CAMPOS|42.04918,-4.980626
GERIA|41.57863,-4.87641
HERRIN DE CAMPOS|42.12391,-4.952713
HORNILLOS DE ERESMA|41.36749,-4.717906
ISCAR|41.36171,-4.535896
LAGUNA DE DUERO|41.58331,-4.721731
LANGAYO|41.56949,-4.197915
LLANO DE OLMEDO|41.2671,-4.61457
LOMOVIEJO|41.1489,-4.917227
MANZANILLO|41.58631,-4.18839
MARZALES|41.58697,-5.133875
MATAPOZUELOS|41.41465,-4.79148
MATILLA DE LOS CAÑOS|41.54636,-4.969812
MAYORGA|42.16557,-5.265478
MEDINA DE RIOSECO|41.88319,-5.04281
MEDINA DEL CAMPO|41.30819,-4.921706
MEGECES|41.40743,-4.566763
MELGAR DE ABAJO|42.24331,-5.142038
MELGAR DE ARRIBA|42.26829,-5.097692
MOJADOS|41.43191,-4.66421
MONASTERIO DE VEGA|42.23006,-5.180848
MONTEALEGRE DE CAMPOS|41.90254,-4.899598
MONTEMAYOR DE PILILLA|41.5081,-4.453449
MORAL DE LA REINA|41.98571,-5.073148
MORALEJA DE LAS PANADERAS|41.27649,-4.82498
MORALES DE CAMPOS|41.85982,-5.172205
MOTA DEL MARQUES|41.63143,-5.175766
MUCIENTES|41.74359,-4.762154
MUDARRA (LA)|41.78017,-4.944046
MURIEL|41.1224,-4.842773
NAVA DEL REY|41.33257,-5.079111
NUEVA VILLA DE LAS TORRES|41.26737,-5.055866
OLIVARES DE DUERO|41.63832,-4.364395
OLMEDO|41.28892,-4.683382
OLMOS DE ESGUEVA|41.68826,-4.521373
OLMOS DE PEÑAFIEL|41.57186,-4.042383
PALAZUELO DE VEDIJA|41.9293,-5.145377
PARRILLA (LA)|41.53615,-4.530541
PEDRAJA DE PORTILLO (LA)|41.47289,-4.643072
PEDRAJAS DE SAN ESTEBAN|41.33928,-4.580059
PEDROSA DEL REY|41.55623,-5.206253
PEÑAFIEL|41.59464,-4.118107
PEÑAFLOR DE HORNIJA|41.71133,-4.982425
PESQUERA DE DUERO|41.64265,-4.157403
PIÑA DE ESGUEVA|41.72896,-4.427324
PIÑEL DE ABAJO|41.67442,-4.147386
PIÑEL DE ARRIBA|41.69944,-4.127923
POLLOS|41.44472,-5.127767
PORTILLO|41.47901,-4.588226
POZAL DE GALLINAS|41.3185,-4.836321
POZALDEZ|41.37178,-4.842025
POZUELO DE LA ORDEN|41.82155,-5.25949
PURAS|41.18361,-4.649365
QUINTANILLA DE ARRIBA|41.62019,-4.215496
QUINTANILLA DE ONESIMO|41.62392,-4.363746
QUINTANILLA DE TRIGUEROS|41.85495,-4.659084
QUINTANILLA DEL MOLAR|41.98919,-5.448556
RABANO|41.53273,-4.060755
RAMIRO|41.22869,-4.786329
RENEDO DE ESGUEVA|41.65422,-4.627491
ROALES DE CAMPOS|42.03042,-5.47572
ROBLADILLO|41.60846,-4.909862
ROTURAS|41.66783,-4.11888
RUBI DE BRACAMONTE|41.2146,-4.924096
RUEDA|41.41413,-4.957104
SAELICES DE MAYORGA|42.2113,-5.206796
SALVADOR DE ZAPARDIEL|41.11658,-4.87457
SAN CEBRIAN DE MAZOTE|41.68003,-5.150565
SAN LLORENTE|41.68693,-4.064864
SAN MARTIN DE VALVENI|41.75298,-4.566612
SAN MIGUEL DEL ARROYO|41.4424,-4.457754
SAN MIGUEL DEL PINO|41.50928,-4.911283
SAN PABLO DE LA MORALEJA|41.1605,-4.777665
SAN PEDRO DE LATARCE|41.73582,-5.325758
SAN PELAYO|41.67999,-5.033651
SAN ROMAN DE HORNIJA|41.48179,-5.282981
SAN SALVADOR|41.61988,-5.086821
SAN VICENTE DEL PALACIO|41.21934,-4.851441
SANTA EUFEMIA DEL ARROYO|41.89495,-5.266917
